"id","substance_code_id/id"
hc_base.subs_code_125001,hc_base.subs_code_125001_hc_vs_substance_code
hc_base.subs_code_126000,hc_base.subs_code_126000_hc_vs_substance_code
hc_base.subs_code_131003,hc_base.subs_code_131003_hc_vs_substance_code
hc_base.subs_code_159002,hc_base.subs_code_159002_hc_vs_substance_code
hc_base.subs_code_164003,hc_base.subs_code_164003_hc_vs_substance_code
hc_base.subs_code_178002,hc_base.subs_code_178002_hc_vs_substance_code
hc_base.subs_code_186002,hc_base.subs_code_186002_hc_vs_substance_code
hc_base.subs_code_187006,hc_base.subs_code_187006_hc_vs_substance_code
hc_base.subs_code_200001,hc_base.subs_code_200001_hc_vs_substance_code
hc_base.subs_code_217008,hc_base.subs_code_217008_hc_vs_substance_code
hc_base.subs_code_238002,hc_base.subs_code_238002_hc_vs_substance_code
hc_base.subs_code_261000,hc_base.subs_code_261000_hc_vs_substance_code
hc_base.subs_code_296000,hc_base.subs_code_296000_hc_vs_substance_code
hc_base.subs_code_322006,hc_base.subs_code_322006_hc_vs_substance_code
hc_base.subs_code_327000,hc_base.subs_code_327000_hc_vs_substance_code
hc_base.subs_code_329002,hc_base.subs_code_329002_hc_vs_substance_code
hc_base.subs_code_377002,hc_base.subs_code_377002_hc_vs_substance_code
hc_base.subs_code_392001,hc_base.subs_code_392001_hc_vs_substance_code
hc_base.subs_code_395004,hc_base.subs_code_395004_hc_vs_substance_code
hc_base.subs_code_412004,hc_base.subs_code_412004_hc_vs_substance_code
hc_base.subs_code_432003,hc_base.subs_code_432003_hc_vs_substance_code
hc_base.subs_code_472007,hc_base.subs_code_472007_hc_vs_substance_code
hc_base.subs_code_476005,hc_base.subs_code_476005_hc_vs_substance_code
hc_base.subs_code_501001,hc_base.subs_code_501001_hc_vs_substance_code
hc_base.subs_code_505005,hc_base.subs_code_505005_hc_vs_substance_code
hc_base.subs_code_515004,hc_base.subs_code_515004_hc_vs_substance_code
hc_base.subs_code_519005,hc_base.subs_code_519005_hc_vs_substance_code
hc_base.subs_code_521000,hc_base.subs_code_521000_hc_vs_substance_code
hc_base.subs_code_529003,hc_base.subs_code_529003_hc_vs_substance_code
hc_base.subs_code_566009,hc_base.subs_code_566009_hc_vs_substance_code
hc_base.subs_code_576007,hc_base.subs_code_576007_hc_vs_substance_code
hc_base.subs_code_584006,hc_base.subs_code_584006_hc_vs_substance_code
hc_base.subs_code_585007,hc_base.subs_code_585007_hc_vs_substance_code
hc_base.subs_code_593007,hc_base.subs_code_593007_hc_vs_substance_code
hc_base.subs_code_597008,hc_base.subs_code_597008_hc_vs_substance_code
hc_base.subs_code_604000,hc_base.subs_code_604000_hc_vs_substance_code
hc_base.subs_code_620005,hc_base.subs_code_620005_hc_vs_substance_code
hc_base.subs_code_648005,hc_base.subs_code_648005_hc_vs_substance_code
hc_base.subs_code_662003,hc_base.subs_code_662003_hc_vs_substance_code
hc_base.subs_code_668004,hc_base.subs_code_668004_hc_vs_substance_code
hc_base.subs_code_683009,hc_base.subs_code_683009_hc_vs_substance_code
hc_base.subs_code_693002,hc_base.subs_code_693002_hc_vs_substance_code
hc_base.subs_code_698006,hc_base.subs_code_698006_hc_vs_substance_code
hc_base.subs_code_699003,hc_base.subs_code_699003_hc_vs_substance_code
hc_base.subs_code_704006,hc_base.subs_code_704006_hc_vs_substance_code
hc_base.subs_code_732002,hc_base.subs_code_732002_hc_vs_substance_code
hc_base.subs_code_735000,hc_base.subs_code_735000_hc_vs_substance_code
hc_base.subs_code_747006,hc_base.subs_code_747006_hc_vs_substance_code
hc_base.subs_code_804003,hc_base.subs_code_804003_hc_vs_substance_code
hc_base.subs_code_859004,hc_base.subs_code_859004_hc_vs_substance_code
hc_base.subs_code_860009,hc_base.subs_code_860009_hc_vs_substance_code
hc_base.subs_code_873008,hc_base.subs_code_873008_hc_vs_substance_code
hc_base.subs_code_876000,hc_base.subs_code_876000_hc_vs_substance_code
hc_base.subs_code_877009,hc_base.subs_code_877009_hc_vs_substance_code
hc_base.subs_code_889006,hc_base.subs_code_889006_hc_vs_substance_code
hc_base.subs_code_896008,hc_base.subs_code_896008_hc_vs_substance_code
hc_base.subs_code_905001,hc_base.subs_code_905001_hc_vs_substance_code
hc_base.subs_code_923009,hc_base.subs_code_923009_hc_vs_substance_code
hc_base.subs_code_925002,hc_base.subs_code_925002_hc_vs_substance_code
hc_base.subs_code_979006,hc_base.subs_code_979006_hc_vs_substance_code
hc_base.subs_code_993004,hc_base.subs_code_993004_hc_vs_substance_code
hc_base.subs_code_1002007,hc_base.subs_code_1002007_hc_vs_substance_code
hc_base.subs_code_1018001,hc_base.subs_code_1018001_hc_vs_substance_code
hc_base.subs_code_1025008,hc_base.subs_code_1025008_hc_vs_substance_code
hc_base.subs_code_1047008,hc_base.subs_code_1047008_hc_vs_substance_code
hc_base.subs_code_1057009,hc_base.subs_code_1057009_hc_vs_substance_code
hc_base.subs_code_1065007,hc_base.subs_code_1065007_hc_vs_substance_code
hc_base.subs_code_1080001,hc_base.subs_code_1080001_hc_vs_substance_code
hc_base.subs_code_1091008,hc_base.subs_code_1091008_hc_vs_substance_code
hc_base.subs_code_1097007,hc_base.subs_code_1097007_hc_vs_substance_code
hc_base.subs_code_1137008,hc_base.subs_code_1137008_hc_vs_substance_code
hc_base.subs_code_1160000,hc_base.subs_code_1160000_hc_vs_substance_code
hc_base.subs_code_1166006,hc_base.subs_code_1166006_hc_vs_substance_code
hc_base.subs_code_1190007,hc_base.subs_code_1190007_hc_vs_substance_code
hc_base.subs_code_1219001,hc_base.subs_code_1219001_hc_vs_substance_code
hc_base.subs_code_1223009,hc_base.subs_code_1223009_hc_vs_substance_code
hc_base.subs_code_1248007,hc_base.subs_code_1248007_hc_vs_substance_code
hc_base.subs_code_1269009,hc_base.subs_code_1269009_hc_vs_substance_code
hc_base.subs_code_1273007,hc_base.subs_code_1273007_hc_vs_substance_code
hc_base.subs_code_1319003,hc_base.subs_code_1319003_hc_vs_substance_code
hc_base.subs_code_1325004,hc_base.subs_code_1325004_hc_vs_substance_code
hc_base.subs_code_1331001,hc_base.subs_code_1331001_hc_vs_substance_code
hc_base.subs_code_1334009,hc_base.subs_code_1334009_hc_vs_substance_code
hc_base.subs_code_1336006,hc_base.subs_code_1336006_hc_vs_substance_code
hc_base.subs_code_1346008,hc_base.subs_code_1346008_hc_vs_substance_code
hc_base.subs_code_1355006,hc_base.subs_code_1355006_hc_vs_substance_code
hc_base.subs_code_1368003,hc_base.subs_code_1368003_hc_vs_substance_code
hc_base.subs_code_1371006,hc_base.subs_code_1371006_hc_vs_substance_code
hc_base.subs_code_1373009,hc_base.subs_code_1373009_hc_vs_substance_code
hc_base.subs_code_1381005,hc_base.subs_code_1381005_hc_vs_substance_code
hc_base.subs_code_1394007,hc_base.subs_code_1394007_hc_vs_substance_code
hc_base.subs_code_1396009,hc_base.subs_code_1396009_hc_vs_substance_code
hc_base.subs_code_1405004,hc_base.subs_code_1405004_hc_vs_substance_code
hc_base.subs_code_1408002,hc_base.subs_code_1408002_hc_vs_substance_code
hc_base.subs_code_1416006,hc_base.subs_code_1416006_hc_vs_substance_code
hc_base.subs_code_1450002,hc_base.subs_code_1450002_hc_vs_substance_code
hc_base.subs_code_1472000,hc_base.subs_code_1472000_hc_vs_substance_code
hc_base.subs_code_1476002,hc_base.subs_code_1476002_hc_vs_substance_code
hc_base.subs_code_1496005,hc_base.subs_code_1496005_hc_vs_substance_code
hc_base.subs_code_1506001,hc_base.subs_code_1506001_hc_vs_substance_code
hc_base.subs_code_1517000,hc_base.subs_code_1517000_hc_vs_substance_code
hc_base.subs_code_1535009,hc_base.subs_code_1535009_hc_vs_substance_code
hc_base.subs_code_1536005,hc_base.subs_code_1536005_hc_vs_substance_code
hc_base.subs_code_1540001,hc_base.subs_code_1540001_hc_vs_substance_code
hc_base.subs_code_1545006,hc_base.subs_code_1545006_hc_vs_substance_code
hc_base.subs_code_1557002,hc_base.subs_code_1557002_hc_vs_substance_code
hc_base.subs_code_1565004,hc_base.subs_code_1565004_hc_vs_substance_code
hc_base.subs_code_1575001,hc_base.subs_code_1575001_hc_vs_substance_code
hc_base.subs_code_1603001,hc_base.subs_code_1603001_hc_vs_substance_code
hc_base.subs_code_1607000,hc_base.subs_code_1607000_hc_vs_substance_code
hc_base.subs_code_1609002,hc_base.subs_code_1609002_hc_vs_substance_code
hc_base.subs_code_1634002,hc_base.subs_code_1634002_hc_vs_substance_code
hc_base.subs_code_1649005,hc_base.subs_code_1649005_hc_vs_substance_code
hc_base.subs_code_1660001,hc_base.subs_code_1660001_hc_vs_substance_code
hc_base.subs_code_1668008,hc_base.subs_code_1668008_hc_vs_substance_code
hc_base.subs_code_1673002,hc_base.subs_code_1673002_hc_vs_substance_code
hc_base.subs_code_1675009,hc_base.subs_code_1675009_hc_vs_substance_code
hc_base.subs_code_1676005,hc_base.subs_code_1676005_hc_vs_substance_code
hc_base.subs_code_1696002,hc_base.subs_code_1696002_hc_vs_substance_code
hc_base.subs_code_1701009,hc_base.subs_code_1701009_hc_vs_substance_code
