"id","code","name","definition","level","comments","parent_ids/id","source_id/id","system"
hc_base.subs_code_125001_hc_vs_substance_code,"125001","Ferrous sulfate Fe^59^","Ferrous sulfate Fe^59^ (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_126000_hc_vs_substance_code,"126000","Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase","Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_131003_hc_vs_substance_code,"131003","Dolichyl-phosphate mannosyltransferase","Dolichyl-phosphate mannosyltransferase (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_159002_hc_vs_substance_code,"159002","Ferrocyanide salt","Ferrocyanide salt (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_164003_hc_vs_substance_code,"164003","Phosphoenolpyruvate-protein phosphotransferase","Phosphoenolpyruvate-protein phosphotransferase (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_178002_hc_vs_substance_code,"178002","Uridine diphosphate galactose","Uridine diphosphate galactose (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_186002_hc_vs_substance_code,"186002","HLA-Cw9 antigen","HLA-Cw9 antigen (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_187006_hc_vs_substance_code,"187006","Cyanocobalamin Co^57^","Cyanocobalamin Co^57^ (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_200001_hc_vs_substance_code,"200001","Berberine","Berberine (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_217008_hc_vs_substance_code,"217008","Blood group antigen IH","Blood group antigen IH (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_238002_hc_vs_substance_code,"238002","Heptachlor","Heptachlor (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_261000_hc_vs_substance_code,"261000","Codeine phosphate","Codeine phosphate (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_296000_hc_vs_substance_code,"296000","Coumachlor","Coumachlor (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_322006_hc_vs_substance_code,"322006","Octylphenoxy P.H. ethanol","Octylphenoxy P.H. ethanol (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_327000_hc_vs_substance_code,"327000","^76^Arsenic","^76^Arsenic (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_329002_hc_vs_substance_code,"329002","^127^Antimony","^127^Antimony (substance)",,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
