"id","code","name","definition","level","comments","source_id/id","system"
hc_procedure.proc_not_perf_rsn_129125009,"129125009","Procedure with explicit context","Procedure with explicit context (situation) aka Context-dependent procedure","1","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416406003,"416406003","Procedure discontinued","Procedure discontinued (situation)","2","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416237000,"416237000","Procedure not done","Procedure not done (situation) aka Procedure not carried out","2","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_428119001,"428119001","Procedure not indicated","Procedure not indicated (situation)","2","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416064006,"416064006","Procedure not offered","Procedure not offered (situation)","2","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416432009,"416432009","Procedure not wanted","Procedure not wanted (situation)","2","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183944003,"183944003","Procedure refused","Procedure refused (situation)","2","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_394908001,"394908001","Procedure stopped","Procedure stopped (situation)","2","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183932001,"183932001","Procedure contraindicated","Procedure contraindicated (situation)","2","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_438833006,"438833006","Administration of drug or medicament contraindicated","Administration of drug or medicament contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_417128001,"417128001","Bisphosphonates contraindicated","Bisphosphonates contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_395175006,"395175006","Bupropion contraindicated","Bupropion contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_135823000,"135823000","Calcium channel blocker contraindicated","Calcium channel blocker contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_407582002,"407582002","Clopidogrel contraindicated","Clopidogrel contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416475003,"416475003","Combined calcium and vitamin D3 preparation contraindicated","Combined calcium and vitamin D3 preparation contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_169551000,"169551000","Contraception contraindicated","Contraception contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416704001,"416704001","DXA scan contraindicated","Diuretic contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_135811006,"135811006","Diuretic contraindicated","Drug dependence home detoxification contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_414055003,"414055003","Drug dependence home detoxification contraindicated","Dual X-ray absorptiometry scan contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_414159007,"414159007","Exercise tolerance test contraindicated","Exercise tolerance test contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_315591006,"315591006","Fibrates contraindicated","Fibrates contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_135822005,"135822005","Lipid lowering therapy contraindicated","Lipid lowering therapy contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_266757004,"266757004","Medical contraindication to procedure","Medical contraindication to procedure (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_414677003,"414677003","Metformin contraindicated","Metformin contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_395174005,"395174005","Nicotine replacement therapy contraindicated","Nicotine replacement therapy contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_135809002,"135809002","Nitrate contraindicated","Nitrate contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416759002,"416759002","Non-steroidal anti-inflammatory drugs contraindicated","Non-steroidal anti-inflammatory drugs contraindicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
